geboortedatum,lidnummer
1980-01-15,1234567890
1990-05-22,2345678901
2000-10-30,3456789012
1985-07-19,4567890123
1995-12-25,5678901234
1978-03-10,6789012345
1983-11-08,7890123456
1992-04-14,8901234567
2001-09-23,9012345678
1987-06-05,1123456789
1980-01-15,1234567890
1990-05-22,2345678901
2000-10-30,3456789012
1985-07-19,4567890123
1995-12-25,5678901234
1978-03-10,6789012345
1983-11-08,7890123456
1992-04-14,8901234567
2001-09-23,9012345678
1987-06-05,1123456789
1982-02-28,2234567890
1989-09-09,3345678901
1998-07-07,4456789012
1993-12-17,5567890123
1997-11-11,6678901234
1979-04-25,7789012345
1984-06-15,8890123456
1991-08-08,9901234567
2002-10-10,1012345678
1980-01-15,2123456789
